08-Feb-22 4:06:21 PM : Starting Network Model Serivice...
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000500000006).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000600000005).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000600000006).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000700000005).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000700000006).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000800000005).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000800000006).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000100000007).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000100000008).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000300000007).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000300000008).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000400000007).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000400000008).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000500000007).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000500000008).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000600000007).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000600000008).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000700000007).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000700000008).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000800000007).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000800000008).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000100000009).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000010000000a).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000300000009).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000030000000a).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000400000009).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000040000000a).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000500000009).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000050000000a).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000600000009).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000060000000a).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000700000009).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000070000000a).
08-Feb-22 4:06:21 PM : Inserting entity with GID (0000000800000009).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000080000000a).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000010000000b).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000010000000c).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000030000000b).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000030000000c).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000040000000b).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000040000000c).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000050000000b).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000050000000c).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000060000000b).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000060000000c).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000070000000b).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000070000000c).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000080000000b).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000080000000c).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000010000000d).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000030000000d).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000040000000d).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000050000000d).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000060000000d).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000070000000d).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000080000000d).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000010000000e).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000010000000f).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000030000000e).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000030000000f).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000040000000e).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000040000000f).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000050000000e).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000050000000f).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000060000000e).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000060000000f).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000070000000e).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000070000000f).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000080000000e).
08-Feb-22 4:06:21 PM : Inserting entity with GID (000000080000000f).
08-Feb-22 4:06:22 PM : The communication object, System.ServiceModel.ServiceHost, cannot be used for communication because it is in the Faulted state.
08-Feb-22 4:06:22 PM : NetworkModelService failed.
08-Feb-22 4:06:22 PM :    at System.ServiceModel.Channels.CommunicationObject.Close(TimeSpan timeout)
   at System.ServiceModel.Channels.CommunicationObject.Close()
   at FTN.Services.NetworkModelService.NetworkModelService.CloseHosts() in C:\Users\User\Desktop\IES project 120\Projekat\ModelLabsProjekat\ModelLabs\NetworkModelService\NetworkModelService.cs:line 96
   at FTN.Services.NetworkModelService.NetworkModelService.Dispose() in C:\Users\User\Desktop\IES project 120\Projekat\ModelLabsProjekat\ModelLabs\NetworkModelService\NetworkModelService.cs:line 34
   at FTN.Services.NetworkModelService.Program.Main(String[] args) in C:\Users\User\Desktop\IES project 120\Projekat\ModelLabsProjekat\ModelLabs\NetworkModelService\ServiceHost\NetworkModelServiceSelfHost\Program.cs:line 30
